Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),Environment:Wind Direction [deg](Hourly),ZONE:Zone Mean Air Temperature [C](Hourly) ,ZONE:Zone Mean Air Temperature [C](Hourly) ,ZONE:Zone Mean Air Temperature [C](Hourly) 
 01/10  07:00:00,5.1083333333,1.0833333333,16.6666666667,19.566573967,19.566573967,19.566573967
 01/10  08:00:00,5.1,1.5166666667,17.5,19.5332000778,19.5332000778,19.5332000778
 01/10  09:00:00,6.3,3.3583333333,146.6666666667,20.7435531638,20.7435531638,20.7435531638
 01/10  10:00:00,6.8,3.025,247.5,22.2217400643,22.2217400643,22.2217400643
 01/10  11:00:00,6.975,1,108.3333333333,23.5126665406,23.5126665406,23.5126665406
 01/10  12:00:00,7.3333333333,0.7583333333,93.3333333333,24.641917334,24.641917334,24.641917334
 01/10  13:00:00,8.025,1.1833333333,177.5,25.6879636088,25.6879636088,25.6879636088
 01/10  14:00:00,8.3416666667,0.4583333333,79.1666666667,26.6741186987,26.6741186987,26.6741186987
 01/10  15:00:00,9.1166666667,0,0,28.0947879602,28.0947879602,28.0947879602
 01/10  16:00:00,9.875,0.875,11.6666666667,28.4307476537,28.4307476537,28.4307476537
 01/10  17:00:00,9.3583333333,2.4333333333,14.1666666667,25.4772445683,25.4772445683,25.4772445683
 01/10  18:00:00,8.55,2.5166666667,10,23.4782937493,23.4782937493,23.4782937493
 01/10  19:00:00,8.0083333333,1.75,10,22.8273636393,22.8273636393,22.8273636393
 01/10  20:00:00,7.45,1.85,15.8333333333,22.3857076169,22.3857076169,22.3857076169
 01/10  21:00:00,6.9083333333,2.975,218.3333333333,22.0117078806,22.0117078806,22.0117078806
 01/10  22:00:00,6.7,4.1833333333,155.8333333333,21.6909897421,21.6909897421,21.6909897421
 01/10  23:00:00,6.7,4.0166666667,15.8333333333,21.4225907861,21.4225907861,21.4225907861
 01/10  24:00:00,6.7,2.375,37.5,21.1849190616,21.1849190616,21.1849190616
 01/11  01:00:00,6.0583333333,2.725,26.6666666667,20.9406168301,20.9406168301,20.9406168301
 01/11  02:00:00,5.8916666667,3.8916666667,208.3333333333,20.6983470638,20.6983470638,20.6983470638
 01/11  03:00:00,5.8083333333,3.5166666667,151.6666666667,20.5016746903,20.5016746903,20.5016746903
 01/11  04:00:00,4.6083333333,2.5166666667,179.1666666667,20.2542529181,20.2542529181,20.2542529181
 01/11  05:00:00,4.5416666667,0.875,125,20.0231223719,20.0231223719,20.0231223719
 01/11  06:00:00,4.3583333333,0.875,87.5,19.8367599956,19.8367599956,19.8367599956
 01/11  07:00:00,4.5416666667,2.1416666667,266.6666666667,19.6301741533,19.6301741533,19.6301741533
 01/11  08:00:00,4.65,1.9583333333,350,19.5983268156,19.5983268156,19.5983268156
 01/11  09:00:00,5.3333333333,2.725,344.1666666667,20.4874010324,20.4874010324,20.4874010324
 01/11  10:00:00,6.0583333333,3.8916666667,345.8333333333,21.411952961,21.411952961,21.411952961
 01/11  11:00:00,6.0416666667,1.7083333333,145.8333333333,23.2356673878,23.2356673878,23.2356673878
 01/11  12:00:00,6.5833333333,1.225,23.3333333333,24.9797996933,24.9797996933,24.9797996933
 01/11  13:00:00,7.5833333333,2.3916666667,45.8333333333,25.2947427158,25.2947427158,25.2947427158
 01/11  14:00:00,8,1.9583333333,50,26.8107649598,26.8107649598,26.8107649598
 01/11  15:00:00,8.5833333333,0.625,20.8333333333,28.5427729706,28.5427729706,28.5427729706
 01/11  16:00:00,9.5833333333,3.9083333333,151.6666666667,29.0100566764,29.0100566764,29.0100566764
 01/11  17:00:00,9.65,6.1166666667,265.8333333333,25.9037293604,25.9037293604,25.9037293604
 01/11  18:00:00,9.4,5.9916666667,252.5,23.7163007997,23.7163007997,23.7163007997
 01/11  19:00:00,9.75,5.2666666667,245.8333333333,23.0422899447,23.0422899447,23.0422899447
 01/11  20:00:00,10,4.6,261.6666666667,22.6440954155,22.6440954155,22.6440954155
 01/11  21:00:00,10,7.05,264.1666666667,22.3128017616,22.3128017616,22.3128017616
 01/11  22:00:00,10,6.35,254.1666666667,22.0320415313,22.0320415313,22.0320415313
 01/11  23:00:00,10,4.0166666667,261.6666666667,21.7978530045,21.7978530045,21.7978530045
 01/11  24:00:00,10,6.2833333333,264.1666666667,21.5915869624,21.5915869624,21.5915869624
 01/12  01:00:00,10,5.8083333333,254.1666666667,21.3993336184,21.3993336184,21.3993336184
 01/12  02:00:00,10,4.3916666667,255.8333333333,21.2177193119,21.2177193119,21.2177193119
 01/12  03:00:00,9.0083333333,3.1416666667,172.5,21.0060286731,21.0060286731,21.0060286731
 01/12  04:00:00,8.0083333333,2.3916666667,127.5,20.7598489327,20.7598489327,20.7598489327
 01/12  05:00:00,7.45,1.9583333333,145.8333333333,20.5472211264,20.5472211264,20.5472211264
 01/12  06:00:00,6.9083333333,0.625,62.5,20.3429948013,20.3429948013,20.3429948013
 01/12  07:00:00,6.9916666667,0,0,20.1678242888,20.1678242888,20.1678242888
 01/12  08:00:00,7.2,1.5166666667,204.1666666667,20.1797133205,20.1797133205,20.1797133205
 01/12  09:00:00,6.9083333333,3.1833333333,151.6666666667,21.306938422,21.306938422,21.306938422
 01/12  10:00:00,6.9916666667,2.725,214.1666666667,23.0098382271,23.0098382271,23.0098382271
 01/12  11:00:00,7.55,0.875,150,24.8701505171,24.8701505171,24.8701505171
 01/12  12:00:00,8.7333333333,0,0,26.4345362938,26.4345362938,26.4345362938
