@,Latitude,Longitude,Time,Tweet,Media,Tags0,Tags1,Tags2,Tags3,Tags4,Tags5,Tags6
@sifarrahzaini,," ",Time: Wed Feb 12 11:41:03 GMT 2014,#studioOD #work heading to open access http://t.co/pbNU7O6wpC,136,studioOD,work,,,,,
@zhinipoh,53.3740713,-1.4666671,Time: Wed Feb 12 11:36:33 GMT 2014,Test! #studioOD  #play,,studioOD,play,,,,,
@eastonlambro,," ",Time: Wed Feb 12 11:34:26 GMT 2014,"University of Sheffield, Whole school Event #studioOD #play http://t.co/M8P1FBtZIX",138,studioOD,play,,,,,
@sifarrahzaini,," ",Time: Wed Feb 12 11:31:24 GMT 2014,#studioOD #work http://t.co/lD99fguCad,139,studioOD,work,,,,,
@kolnranger,53.3775119,-1.4722912,Time: Wed Feb 12 11:25:42 GMT 2014,#StudioOD Woo! #play,,StudioOD,play,,,,,
@aimrashid,53.37751515,-1.47228444,Time: Wed Feb 12 11:19:08 GMT 2014,Studio Open Data #studioOD #Work http://t.co/umHUosIyJ6,141,studioOD,Work,,,,,
@aimrashid,," ",Time: Wed Feb 12 11:15:42 GMT 2014,Open data group briefing #studioOD #play #rest #work http://t.co/6Q7ZoUnKCJ,142,studioOD,play,rest,work,,,
@phiLangley,53.3775267,-1.4722783,Time: Wed Feb 12 10:39:24 GMT 2014,Really? #studioOD #play,,studioOD,play,,,,,
@phiLangley,53.3775267,-1.4722783,Time: Wed Feb 12 10:34:18 GMT 2014,Or not? #studioOD #play,,studioOD,play,,,,,
@phiLangley,53.3775267,-1.4722783,Time: Wed Feb 12 10:33:09 GMT 2014,Finally? #studioOD #play,,studioOD,play,,,,,
@phiLangley,53.3775267,-1.4722783,Time: Wed Feb 12 10:28:21 GMT 2014,Are we... #studioOD #work,,studioOD,work,,,,,
@phiLangley,53.3775267,-1.4722783,Time: Wed Feb 12 10:22:26 GMT 2014,Hang on...@simulationBot is up and running #studioOD,,studioOD,,,,,,
@phiLangley,53.3775267,-1.4722783,Time: Wed Feb 12 10:21:38 GMT 2014,"Nope, not yet..... #studioOD #work #rest #play",,studioOD,work,rest,play,,,
@phiLangley,53.3775267,-1.4722783,Time: Wed Feb 12 10:17:43 GMT 2014,Let's see if @simulationBot is ready..... #work #rest #play #studioOD,,work,rest,play,studioOD,,,
@simulationBot,," ",Time: Wed Feb 12 09:31:33 GMT 2014,48...simBot is ready for #studioOD in the city#odCode http://t.co/6yWZ7lguhE,150,studioOD,,,,,,
@simulationBot,," ",Time: Wed Feb 12 09:31:12 GMT 2014,48...simBot is ready for #studioOD in the city#odCode http://t.co/KOnz3KpbJd,151,studioOD,,,,,,
